START BATCH CODE;START EVENT MONTH;START EVENT CALENDAR WEEK;END BATCH CODE;MATERIAL;END TIME;END EVENT MONTH;END EVENT CALENDAR WEEK;YEAR WEEK;CYCLE TIME;TARGET CYCLE TIME
S0128;8;35;E0128;PRODUCT M;2022-11-14;11;46;2022 - W46;79;100
S0129;3;12;E0129;PRODUCT C;2022-11-16;11;46;2022 - W46;244;100
S0130;9;37;E0130;PRODUCT M;2022-11-14;11;46;2022 - W46;65;100
S0131;4;17;E0131;PRODUCT C;2022-11-16;11;46;2022 - W46;209;100
S0132;4;15;E0132;PRODUCT C;2022-11-16;11;46;2022 - W46;221;100
S0133;9;37;E0133;PRODUCT M;2022-11-15;11;46;2022 - W46;66;100
S0134;9;37;E0134;PRODUCT M;2022-11-17;11;46;2022 - W46;68;100
S0135;9;38;E0135;PRODUCT M;2022-11-17;11;46;2022 - W46;66;100
S0136;9;38;E0136;PRODUCT M;2022-11-14;11;46;2022 - W46;63;100
S0137;9;36;E0137;PRODUCT M;2022-11-15;11;46;2022 - W46;72;100
S0138;8;34;E0138;PRODUCT M;2022-11-17;11;46;2022 - W46;92;100
S0139;8;34;E0139;PRODUCT M;2022-11-17;11;46;2022 - W46;88;100
S0140;6;24;E0140;PRODUCT N;2022-11-23;11;47;2022 - W47;167;100
S0141;4;18;E0141;PRODUCT T;2022-11-28;11;48;2022 - W48;579;100
S0142;11;49;E0142;PRODUCT T;2022-11-25;11;47;2022 - W47;361;100
S0143;9;38;E0143;PRODUCT M;2022-11-17;11;46;2022 - W46;66;100
S0144;4;17;E0144;PRODUCT C;2022-11-16;11;46;2022 - W46;210;100
S0145;7;27;E0145;PRODUCT C;2022-11-24;11;47;2022 - W47;145;100
S0146;8;33;E0146;PRODUCT F;2022-11-28;11;48;2022 - W48;108;100
S0147;4;15;E0147;PRODUCT C;2022-11-24;11;47;2022 - W47;229;100
S0148;8;33;E0148;PRODUCT F;2022-11-28;11;48;2022 - W48;108;100
S0149;2;6;E0149;PRODUCT T;2022-11-23;11;47;2022 - W47;295;100
S0150;7;30;E0150;PRODUCT M;2022-11-22;11;47;2022 - W47;126;100
S0151;7;27;E0151;PRODUCT T;2022-11-23;11;47;2022 - W47;145;100
S0152;6;23;E0152;PRODUCT T;2022-11-23;11;47;2022 - W47;172;100
S0153;4;15;E0153;PRODUCT C;2022-11-18;11;46;2022 - W46;223;100
S0154;5;19;E0154;PRODUCT N;2022-11-21;11;47;2022 - W47;200;100
S0155;10;40;E0155;PRODUCT F;2022-11-21;11;47;2022 - W47;416;100
S0156;5;22;E0156;PRODUCT C;2022-11-25;11;47;2022 - W47;183;100
S0157;12;51;E0157;PRODUCT T;2022-11-22;11;47;2022 - W47;339;100
S0158;12;51;E0158;PRODUCT T;2022-11-23;11;47;2022 - W47;339;100
S0159;8;33;E0159;PRODUCT F;2022-11-24;11;47;2022 - W47;103;100
S0160;8;34;E0160;PRODUCT M;2022-11-21;11;47;2022 - W47;95;100
S0161;8;34;E0161;PRODUCT M;2022-11-21;11;47;2022 - W47;95;100
S0162;8;34;E0162;PRODUCT M;2022-11-22;11;47;2022 - W47;99;100
S0163;8;36;E0163;PRODUCT M;2022-11-22;11;47;2022 - W47;85;100
S0164;8;34;E0164;PRODUCT M;2022-11-22;11;47;2022 - W47;99;100
S0165;8;36;E0165;PRODUCT M;2022-11-18;11;46;2022 - W46;81;100
S0166;9;39;E0166;PRODUCT M;2022-11-25;11;47;2022 - W47;66;100
S0167;8;33;E0167;PRODUCT F;2022-11-30;11;48;2022 - W48;110;100
S0168;7;28;E0168;PRODUCT C;2022-11-28;11;48;2022 - W48;146;100
S0169;7;31;E0169;PRODUCT F;2022-11-30;11;48;2022 - W48;123;100
S0170;11;48;E0170;PRODUCT O;2022-11-30;11;48;2022 - W48;373;100
S0171;7;29;E0171;PRODUCT T;2022-11-25;11;47;2022 - W47;135;100
S0172;2;7;E0172;PRODUCT T;2022-11-30;11;48;2022 - W48;295;100
S0173;6;24;E0173;PRODUCT N;2022-11-29;11;48;2022 - W48;173;100
S0174;6;24;E0174;PRODUCT N;2022-11-28;11;48;2022 - W48;172;100
S0175;9;38;E0175;PRODUCT M;2022-11-29;11;48;2022 - W48;78;100
S0176;8;36;E0176;PRODUCT M;2022-11-28;11;48;2022 - W48;91;100
S0177;8;36;E0177;PRODUCT M;2022-12-01;12;48;2022 - W48;94;100
S0178;4;17;E0178;PRODUCT C;2022-12-01;12;48;2022 - W48;222;100
S0179;4;17;E0179;PRODUCT C;2022-11-30;11;48;2022 - W48;222;100
S0180;8;34;E0180;PRODUCT M;2022-11-30;11;48;2022 - W48;105;100
S0181;5;23;E0181;PRODUCT T;2022-11-28;11;48;2022 - W48;182;100
S0182;4;17;E0182;PRODUCT C;2022-11-30;11;48;2022 - W48;224;100
S0183;9;36;E0183;PRODUCT N;2022-11-24;11;47;2022 - W47;449;100
S0184;4;15;E0184;PRODUCT C;2022-11-24;11;47;2022 - W47;229;100
S0185;4;16;E0185;PRODUCT T;2022-11-29;11;48;2022 - W48;226;100
S0186;7;29;E0186;PRODUCT T;2022-11-28;11;48;2022 - W48;138;100
S0187;12;50;E0187;PRODUCT T;2022-11-28;11;48;2022 - W48;357;100
S0188;9;36;E0188;PRODUCT M;2022-11-29;11;48;2022 - W48;86;100
S0189;9;38;E0189;PRODUCT M;2022-11-27;11;47;2022 - W47;76;100
S0190;6;23;E0190;PRODUCT T;2022-11-24;11;47;2022 - W47;173;100
S0191;2;7;E0191;PRODUCT T;2022-11-28;11;48;2022 - W48;293;100
S0192;4;15;E0192;PRODUCT C;2022-12-01;12;48;2022 - W48;236;100
S0193;9;39;E0193;PRODUCT M;2022-11-24;11;47;2022 - W47;65;100
S0194;11;48;E0194;PRODUCT O;2022-12-01;12;48;2022 - W48;374;100
S0195;11;48;E0195;PRODUCT O;2022-12-02;12;48;2022 - W48;375;100
S0196;8;36;E0196;PRODUCT C;2022-12-05;12;49;2022 - W49;96;100
S0197;8;33;E0197;PRODUCT F;2022-11-30;11;48;2022 - W48;110;100
S0198;7;29;E0198;PRODUCT T;2022-11-30;11;48;2022 - W48;140;100
S0199;12;50;E0199;PRODUCT T;2022-12-02;12;48;2022 - W48;361;100
S0200;5;19;E0200;PRODUCT T;2022-12-06;12;49;2022 - W49;216;100
S0201;3;10;E0201;PRODUCT F;2022-12-02;12;48;2022 - W48;637;100
S0202;7;31;E0202;PRODUCT F;2022-12-15;12;50;2022 - W50;139;100
S0203;4;18;E0203;PRODUCT T;2022-12-12;12;50;2022 - W50;593;100
S0204;11;48;E0204;PRODUCT O;2022-12-08;12;49;2022 - W49;381;100
S0205;7;27;E0205;PRODUCT C;2022-12-05;12;49;2022 - W49;156;100
S0206;2;9;E0206;PRODUCT C;2022-12-05;12;49;2022 - W49;283;100
S0207;4;15;E0207;PRODUCT C;2022-12-05;12;49;2022 - W49;242;100
S0208;6;26;E0208;PRODUCT C;2022-12-01;12;48;2022 - W48;164;100
S0209;8;33;E0209;PRODUCT F;2022-12-01;12;48;2022 - W48;111;100
S0210;9;37;E0210;PRODUCT T;2022-12-14;12;50;2022 - W50;97;100
S0211;1;2;E0211;PRODUCT T;2022-12-06;12;49;2022 - W49;332;100
S0212;9;37;E0212;PRODUCT T;2022-12-07;12;49;2022 - W49;90;100
S0213;9;40;E0213;PRODUCT M;2022-12-05;12;49;2022 - W49;70;100
S0214;9;40;E0214;PRODUCT M;2022-12-05;12;49;2022 - W49;70;100
S0215;9;40;E0215;PRODUCT M;2022-12-05;12;49;2022 - W49;70;100
S0216;8;35;E0216;PRODUCT M;2022-12-05;12;49;2022 - W49;100;100
S0217;6;23;E0217;PRODUCT T;2022-12-06;12;49;2022 - W49;185;100
S0218;9;40;E0218;PRODUCT M;2022-12-02;12;48;2022 - W48;67;100
S0219;3;10;E0219;PRODUCT F;2022-12-14;12;50;2022 - W50;649;100
S0220;8;33;E0220;PRODUCT F;2022-12-05;12;49;2022 - W49;115;100
S0221;1;2;E0221;PRODUCT T;2022-12-08;12;49;2022 - W49;334;100
S0222;10;41;E0222;PRODUCT F;2022-12-07;12;49;2022 - W49;63;100
S0223;6;26;E0223;PRODUCT T;2022-12-06;12;49;2022 - W49;165;100
S0224;5;19;E0224;PRODUCT T;2022-12-09;12;49;2022 - W49;219;100
S0225;11;49;E0225;PRODUCT T;2022-12-07;12;49;2022 - W49;373;100
S0226;9;38;E0226;PRODUCT C;2022-12-09;12;49;2022 - W49;83;100
S0227;9;38;E0227;PRODUCT C;2022-12-09;12;49;2022 - W49;83;100
S0228;9;38;E0228;PRODUCT C;2022-12-13;12;50;2022 - W50;87;100
